player_name,match_date,opponent_team,venue,runs_scored,balls_faced,strike_rate,fours,sixes
AB de Villiers,2017-06-16,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",54,36,150.0,4,2
KL Rahul,2017-06-16,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Hardik Pandya,2017-06-19,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",26,14,185.71,3,1
Faf du Plessis,2017-06-19,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",15,6,250.0,1,1
Rohit Sharma,2017-06-19,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",51,34,150.0,3,3
Virat Kohli,2017-06-19,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",53,41,129.27,4,3
AB de Villiers,2017-06-22,Mumbai Indians,"Arun Jaitley Stadium, Delhi",0,1,0.0,0,0
Rishabh Pant,2017-06-22,Delhi Capitals,"IS Bindra Stadium, Mohali",80,51,156.86,11,7
Jos Buttler,2017-06-25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",82,51,160.78,10,7
Hardik Pandya,2017-06-28,Rajasthan Royals,"Eden Gardens, Kolkata",38,23,165.22,3,2
Rishabh Pant,2017-06-28,Delhi Capitals,"Wankhede Stadium, Mumbai",8,1,800.0,0,0
Jos Buttler,2017-06-28,Punjab Kings,"Wankhede Stadium, Mumbai",91,58,156.9,11,3
AB de Villiers,2017-07-01,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",81,49,165.31,5,5
AB de Villiers,2017-07-01,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",55,33,166.67,3,2
Faf du Plessis,2017-07-04,Mumbai Indians,"Wankhede Stadium, Mumbai",9,9,100.0,0,0
Hardik Pandya,2017-07-07,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",21,9,233.33,2,1
Rishabh Pant,2017-07-07,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",63,46,136.96,8,5
Ishan Kishan,2017-07-07,Delhi Capitals,"Wankhede Stadium, Mumbai",0,1,0.0,0,0
Rishabh Pant,2017-07-07,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",39,31,125.81,3,2
Glenn Maxwell,2017-07-10,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",7,1,700.0,0,0
Hardik Pandya,2017-07-13,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",52,40,130.0,6,2
Andre Russell,2017-07-13,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",31,13,238.46,2,1
Andre Russell,2017-07-16,Mumbai Indians,"DY Patil Stadium, Mumbai",18,8,225.0,1,0
Ishan Kishan,2017-07-16,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",57,39,146.15,3,1
Kieron Pollard,2017-07-16,Rajasthan Royals,"IS Bindra Stadium, Mohali",30,19,157.89,3,0
Quinton de Kock,2017-07-19,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",28,17,164.71,3,1
Ambati Rayudu,2017-07-19,Delhi Capitals,"Eden Gardens, Kolkata",13,10,130.0,0,0
Hardik Pandya,2017-07-22,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",3,4,75.0,0,0
Quinton de Kock,2017-07-25,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",65,46,141.3,8,3
Hardik Pandya,2017-07-25,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",37,29,127.59,2,1
David Warner,2017-07-25,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",4,1,400.0,0,0
Virat Kohli,2017-07-25,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",57,45,126.67,7,5
Rishabh Pant,2017-07-28,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",49,31,158.06,7,3
KL Rahul,2017-07-28,Delhi Capitals,"DY Patil Stadium, Mumbai",80,57,140.35,5,4
Sanju Samson,2017-07-28,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",53,38,139.47,3,2
KL Rahul,2017-07-28,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",26,14,185.71,1,1
Faf du Plessis,2017-07-28,Rajasthan Royals,"M.A. Chidambaram Stadium, Chennai",27,25,108.0,3,1
KL Rahul,2017-07-31,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",66,48,137.5,6,3
Ishan Kishan,2017-07-31,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Ambati Rayudu,2017-08-03,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",24,20,120.0,1,0
Shubman Gill,2017-08-03,Mumbai Indians,"Eden Gardens, Kolkata",35,22,159.09,2,1
Rohit Sharma,2017-08-03,Rajasthan Royals,"Wankhede Stadium, Mumbai",48,39,123.08,5,1
Faf du Plessis,2017-08-03,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",27,16,168.75,1,1
AB de Villiers,2017-08-09,Mumbai Indians,"M.A. Chidambaram Stadium, Chennai",62,40,155.0,6,4
Hardik Pandya,2017-08-09,Rajasthan Royals,"Eden Gardens, Kolkata",46,29,158.62,4,3
Glenn Maxwell,2017-08-12,Rajasthan Royals,"Eden Gardens, Kolkata",71,45,157.78,4,3
Shubman Gill,2017-08-15,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",64,49,130.61,7,5
Faf du Plessis,2017-08-18,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",19,11,172.73,2,0
Ishan Kishan,2017-08-18,Delhi Capitals,"Eden Gardens, Kolkata",2,1,200.0,0,0
Hardik Pandya,2017-08-18,Delhi Capitals,"Eden Gardens, Kolkata",28,22,127.27,2,2
AB de Villiers,2017-08-21,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",65,40,162.5,3,6
Sanju Samson,2017-08-21,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",29,22,131.82,2,2
Rohit Sharma,2017-08-24,Rajasthan Royals,"IS Bindra Stadium, Mohali",0,4,0.0,0,0
MS Dhoni,2017-08-24,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",44,34,129.41,2,1
Kieron Pollard,2017-08-24,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",52,31,167.74,4,1
Jos Buttler,2017-08-27,Delhi Capitals,"IS Bindra Stadium, Mohali",17,11,154.55,2,1
Sanju Samson,2017-08-27,Sunrisers Hyderabad,"IS Bindra Stadium, Mohali",51,31,164.52,2,4
Suresh Raina,2017-08-27,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",48,37,129.73,4,1
Dinesh Karthik,2017-09-02,Rajasthan Royals,"M.A. Chidambaram Stadium, Chennai",16,12,133.33,0,0
Rohit Sharma,2017-09-02,Mumbai Indians,"DY Patil Stadium, Mumbai",24,20,120.0,2,1
Ambati Rayudu,2017-09-02,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",0,1,0.0,0,0
Ambati Rayudu,2017-09-05,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",31,20,155.0,4,2
Sanju Samson,2017-09-11,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",9,5,180.0,0,0
Virat Kohli,2017-09-14,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",29,25,116.0,4,2
Hardik Pandya,2017-09-14,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",20,12,166.67,1,1
Faf du Plessis,2017-09-17,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",46,36,127.78,5,3
David Warner,2017-09-17,Royal Challengers Bangalore,"DY Patil Stadium, Mumbai",63,41,153.66,8,2
Ishan Kishan,2017-09-17,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,0,0
Shubman Gill,2017-09-17,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",77,58,132.76,9,3
Virat Kohli,2017-09-17,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",35,23,152.17,4,3
Ambati Rayudu,2017-09-20,Sunrisers Hyderabad,"DY Patil Stadium, Mumbai",0,3,0.0,0,0
Quinton de Kock,2017-09-20,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",16,17,94.12,0,0
Jos Buttler,2017-09-20,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",42,28,150.0,5,2
Dinesh Karthik,2017-09-23,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",32,22,145.45,1,1
Quinton de Kock,2017-09-26,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",62,50,124.0,3,1
Ambati Rayudu,2017-09-26,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",21,18,116.67,2,1
Glenn Maxwell,2017-09-26,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",42,24,175.0,5,2
Jos Buttler,2017-09-29,Punjab Kings,"IS Bindra Stadium, Mohali",19,17,111.76,2,1
Sanju Samson,2017-09-29,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",33,18,183.33,3,2
Jos Buttler,2017-10-02,Chennai Super Kings,"IS Bindra Stadium, Mohali",57,36,158.33,4,1
Rishabh Pant,2017-10-08,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",13,6,216.67,0,0
Kieron Pollard,2017-10-08,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Sanju Samson,2017-10-08,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",59,41,143.9,6,4
MS Dhoni,2017-10-11,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",64,49,130.61,3,2
Jos Buttler,2017-10-11,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",9,7,128.57,0,0
David Warner,2017-10-14,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",37,23,160.87,3,1
Suresh Raina,2017-10-14,Mumbai Indians,"M.A. Chidambaram Stadium, Chennai",44,32,137.5,6,2
Shubman Gill,2017-10-17,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",72,60,120.0,4,4
Rishabh Pant,2017-10-17,Rajasthan Royals,"Eden Gardens, Kolkata",46,27,170.37,2,1
Andre Russell,2017-10-17,Kolkata Knight Riders,"IS Bindra Stadium, Mohali",35,18,194.44,4,1
Ishan Kishan,2017-10-17,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",20,13,153.85,2,0
Andre Russell,2017-10-17,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",18,13,138.46,1,0
Ishan Kishan,2017-10-17,Punjab Kings,"M.A. Chidambaram Stadium, Chennai",42,27,155.56,5,0
Sanju Samson,2017-10-23,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",59,39,151.28,5,3
Ambati Rayudu,2017-10-23,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",34,23,147.83,2,2
Hardik Pandya,2017-10-23,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",20,11,181.82,2,1
Hardik Pandya,2017-10-26,Mumbai Indians,"DY Patil Stadium, Mumbai",39,27,144.44,4,3
Jos Buttler,2017-10-29,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",58,39,148.72,2,4
Ambati Rayudu,2017-10-29,Rajasthan Royals,"DY Patil Stadium, Mumbai",23,15,153.33,2,1
Quinton de Kock,2017-11-01,Rajasthan Royals,"IS Bindra Stadium, Mohali",28,20,140.0,2,1
Kieron Pollard,2017-11-04,Mumbai Indians,"M.A. Chidambaram Stadium, Chennai",46,31,148.39,4,1
Kieron Pollard,2017-11-07,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",33,18,183.33,3,0
Rishabh Pant,2017-11-07,Mumbai Indians,"DY Patil Stadium, Mumbai",17,11,154.55,1,1
Kieron Pollard,2017-11-07,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",52,36,144.44,6,3
Faf du Plessis,2017-11-07,Delhi Capitals,"IS Bindra Stadium, Mohali",40,30,133.33,4,3
Rohit Sharma,2017-11-10,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",0,1,0.0,0,0
MS Dhoni,2017-11-10,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",56,35,160.0,6,2
Suresh Raina,2017-11-13,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",28,22,127.27,2,2
Rishabh Pant,2017-11-13,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",20,15,133.33,2,1
Glenn Maxwell,2017-11-13,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",32,18,177.78,2,1
Hardik Pandya,2017-11-13,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",18,7,257.14,1,0
Faf du Plessis,2017-11-16,Delhi Capitals,"IS Bindra Stadium, Mohali",35,28,125.0,3,1
Dinesh Karthik,2017-11-16,Delhi Capitals,"Eden Gardens, Kolkata",33,26,126.92,2,0
Rishabh Pant,2017-11-19,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",30,21,142.86,3,0
MS Dhoni,2017-11-19,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",14,8,175.0,1,0
MS Dhoni,2017-11-22,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",18,13,138.46,1,0
Andre Russell,2017-11-22,Mumbai Indians,"Arun Jaitley Stadium, Delhi",40,22,181.82,5,3
Suresh Raina,2017-11-25,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",31,19,163.16,4,2
Dinesh Karthik,2017-11-28,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",49,37,132.43,3,2
David Warner,2017-12-01,Delhi Capitals,"DY Patil Stadium, Mumbai",68,49,138.78,8,5
Faf du Plessis,2017-12-04,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",26,20,130.0,1,0
AB de Villiers,2017-12-04,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",31,17,182.35,4,2
Faf du Plessis,2017-12-07,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",15,11,136.36,0,1
Quinton de Kock,2017-12-07,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",78,53,147.17,9,7
Sanju Samson,2017-12-07,Sunrisers Hyderabad,"Eden Gardens, Kolkata",40,31,129.03,2,1
Rishabh Pant,2017-12-10,Royal Challengers Bangalore,"Eden Gardens, Kolkata",43,24,179.17,2,2
AB de Villiers,2017-12-10,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",89,58,153.45,5,2
Kieron Pollard,2017-12-13,Rajasthan Royals,"IS Bindra Stadium, Mohali",22,15,146.67,1,1
Virat Kohli,2017-12-13,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",87,60,145.0,7,5
Sanju Samson,2017-12-13,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",38,23,165.22,4,2
Kieron Pollard,2017-12-16,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",46,33,139.39,3,2
Ambati Rayudu,2017-12-16,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",32,21,152.38,4,1
MS Dhoni,2017-12-19,Mumbai Indians,"M.A. Chidambaram Stadium, Chennai",34,27,125.93,3,0
Shubman Gill,2017-12-19,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",33,30,110.0,1,1
Andre Russell,2017-12-19,Chennai Super Kings,"Eden Gardens, Kolkata",33,21,157.14,1,0
Quinton de Kock,2017-12-22,Mumbai Indians,"Wankhede Stadium, Mumbai",11,7,157.14,1,0
AB de Villiers,2017-12-25,Chennai Super Kings,"IS Bindra Stadium, Mohali",9,1,900.0,1,0
Ambati Rayudu,2017-12-25,Punjab Kings,"DY Patil Stadium, Mumbai",8,9,88.89,0,0
David Warner,2017-12-28,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,0,0
Rishabh Pant,2017-12-28,Punjab Kings,"Eden Gardens, Kolkata",43,30,143.33,5,1
Faf du Plessis,2017-12-31,Chennai Super Kings,"DY Patil Stadium, Mumbai",43,36,119.44,3,3
Jos Buttler,2018-01-03,Sunrisers Hyderabad,"IS Bindra Stadium, Mohali",36,21,171.43,4,2
Sanju Samson,2018-01-06,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",27,14,192.86,1,0
Andre Russell,2018-01-06,Rajasthan Royals,"DY Patil Stadium, Mumbai",42,29,144.83,3,3
Ambati Rayudu,2018-01-06,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",52,44,118.18,7,1
David Warner,2018-01-09,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",41,34,120.59,5,3
Ambati Rayudu,2018-01-09,Chennai Super Kings,"Eden Gardens, Kolkata",34,29,117.24,4,1
Ambati Rayudu,2018-01-12,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",57,48,118.75,7,1
Faf du Plessis,2018-01-12,Punjab Kings,"IS Bindra Stadium, Mohali",49,35,140.0,3,1
Rohit Sharma,2018-01-15,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",52,36,144.44,2,3
Virat Kohli,2018-01-15,Punjab Kings,"IS Bindra Stadium, Mohali",17,11,154.55,2,1
AB de Villiers,2018-01-18,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",62,38,163.16,5,1
Ambati Rayudu,2018-01-18,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",49,40,122.5,6,2
Rohit Sharma,2018-01-18,Mumbai Indians,"Eden Gardens, Kolkata",50,39,128.21,6,3
Quinton de Kock,2018-01-21,Delhi Capitals,"Arun Jaitley Stadium, Delhi",14,13,107.69,1,1
Quinton de Kock,2018-01-24,Rajasthan Royals,"IS Bindra Stadium, Mohali",12,6,200.0,1,0
Dinesh Karthik,2018-01-24,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",25,15,166.67,2,1
Faf du Plessis,2018-01-24,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",59,44,134.09,4,2
KL Rahul,2018-01-27,Delhi Capitals,"IS Bindra Stadium, Mohali",43,32,134.38,4,3
Kieron Pollard,2018-01-27,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",0,3,0.0,0,0
Ambati Rayudu,2018-02-05,Chennai Super Kings,"Eden Gardens, Kolkata",23,22,104.55,3,1
Dinesh Karthik,2018-02-08,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",7,9,77.78,0,0
Shubman Gill,2018-02-08,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",88,72,122.22,12,2
Dinesh Karthik,2018-02-11,Sunrisers Hyderabad,"Eden Gardens, Kolkata",41,29,141.38,5,1
David Warner,2018-02-11,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",67,44,152.27,6,2
MS Dhoni,2018-02-11,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",19,12,158.33,2,1
MS Dhoni,2018-02-20,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",12,4,300.0,1,0
Shubman Gill,2018-02-20,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",37,24,154.17,3,1
MS Dhoni,2018-02-20,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",39,32,121.88,3,2
Rohit Sharma,2018-02-23,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",30,18,166.67,2,0
Andre Russell,2018-02-26,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",0,1,0.0,0,0
Faf du Plessis,2018-03-01,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",32,23,139.13,2,1
Virat Kohli,2018-03-04,Chennai Super Kings,"Wankhede Stadium, Mumbai",58,45,128.89,8,3
Quinton de Kock,2018-03-04,Delhi Capitals,"Eden Gardens, Kolkata",63,47,134.04,4,2
Faf du Plessis,2018-03-04,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",66,54,122.22,9,3
Jos Buttler,2018-03-04,Punjab Kings,"M.A. Chidambaram Stadium, Chennai",47,27,174.07,3,4
Kieron Pollard,2018-03-07,Punjab Kings,"Wankhede Stadium, Mumbai",26,20,130.0,3,0
AB de Villiers,2018-03-10,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",44,23,191.3,6,3
Kieron Pollard,2018-03-13,Mumbai Indians,"Wankhede Stadium, Mumbai",39,21,185.71,4,2
Andre Russell,2018-03-13,Delhi Capitals,"M.A. Chidambaram Stadium, Chennai",15,12,125.0,1,1
Ambati Rayudu,2018-03-13,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",56,40,140.0,5,1
Suresh Raina,2018-03-13,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",35,30,116.67,3,1
Kieron Pollard,2018-03-16,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",25,17,147.06,1,2
Glenn Maxwell,2018-03-16,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",24,13,184.62,3,1
Dinesh Karthik,2018-03-16,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,0,0
KL Rahul,2018-03-19,Punjab Kings,"Arun Jaitley Stadium, Delhi",28,19,147.37,2,1
Rohit Sharma,2018-03-22,Chennai Super Kings,"DY Patil Stadium, Mumbai",73,56,130.36,10,6
Ishan Kishan,2018-03-25,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",33,24,137.5,4,2
Andre Russell,2018-03-25,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",4,6,66.67,0,0
Jos Buttler,2018-03-28,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",53,39,135.9,2,2
Andre Russell,2018-03-28,Kolkata Knight Riders,"Eden Gardens, Kolkata",12,6,200.0,1,1
Kieron Pollard,2018-03-28,Delhi Capitals,"M.A. Chidambaram Stadium, Chennai",38,24,158.33,2,3
Rishabh Pant,2018-03-28,Kolkata Knight Riders,"Eden Gardens, Kolkata",60,36,166.67,8,1
Quinton de Kock,2018-03-28,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",13,8,162.5,0,1
Rishabh Pant,2018-03-31,Delhi Capitals,"DY Patil Stadium, Mumbai",55,41,134.15,3,1
Andre Russell,2018-03-31,Punjab Kings,"IS Bindra Stadium, Mohali",38,19,200.0,3,3
David Warner,2018-04-03,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",30,23,130.43,3,0
Ambati Rayudu,2018-04-03,Punjab Kings,"M.A. Chidambaram Stadium, Chennai",44,29,151.72,5,2
Shubman Gill,2018-04-03,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",40,33,121.21,2,2
Faf du Plessis,2018-04-06,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",78,57,136.84,5,7
Rohit Sharma,2018-04-06,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",78,64,121.88,4,4
Kieron Pollard,2018-04-06,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",67,41,163.41,6,5
AB de Villiers,2018-04-09,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",80,52,153.85,7,4
MS Dhoni,2018-04-12,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",33,18,183.33,3,1
Suresh Raina,2018-04-12,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",15,13,115.38,2,1
Glenn Maxwell,2018-04-12,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",19,13,146.15,2,0
David Warner,2018-04-12,Mumbai Indians,"DY Patil Stadium, Mumbai",52,42,123.81,4,1
Sanju Samson,2018-04-12,Chennai Super Kings,"IS Bindra Stadium, Mohali",48,29,165.52,6,1
Shubman Gill,2018-04-15,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",54,44,122.73,6,4
MS Dhoni,2018-04-15,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",21,20,105.0,2,1
Sanju Samson,2018-04-15,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",12,9,133.33,1,0
Kieron Pollard,2018-04-15,Sunrisers Hyderabad,"IS Bindra Stadium, Mohali",21,15,140.0,2,1
Andre Russell,2018-04-18,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",0,1,0.0,0,0
Glenn Maxwell,2018-04-18,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",63,41,153.66,6,4
Rishabh Pant,2018-04-21,Delhi Capitals,"Wankhede Stadium, Mumbai",21,11,190.91,1,0
David Warner,2018-04-21,Delhi Capitals,"Wankhede Stadium, Mumbai",21,15,140.0,3,1
Virat Kohli,2018-04-24,Mumbai Indians,"Wankhede Stadium, Mumbai",37,22,168.18,4,1
Kieron Pollard,2018-04-24,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",0,1,0.0,0,0
Suresh Raina,2018-04-27,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",11,7,157.14,0,0
David Warner,2018-04-27,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",57,43,132.56,7,5
AB de Villiers,2018-04-27,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",81,48,168.75,9,3
Rishabh Pant,2018-04-27,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",50,32,156.25,6,2
Ishan Kishan,2018-04-30,Rajasthan Royals,"M.A. Chidambaram Stadium, Chennai",27,19,142.11,3,2
KL Rahul,2018-04-30,Chennai Super Kings,"Eden Gardens, Kolkata",71,55,129.09,7,1
Andre Russell,2018-04-30,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",46,28,164.29,2,2
Glenn Maxwell,2018-05-03,Rajasthan Royals,"Wankhede Stadium, Mumbai",59,32,184.38,7,3
Rohit Sharma,2018-05-06,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",67,49,136.73,4,5
Virat Kohli,2018-05-06,Punjab Kings,"Arun Jaitley Stadium, Delhi",90,71,126.76,9,3
Quinton de Kock,2018-05-06,Mumbai Indians,"Eden Gardens, Kolkata",28,25,112.0,3,1
KL Rahul,2018-05-06,Delhi Capitals,"Arun Jaitley Stadium, Delhi",66,50,132.0,8,3
Suresh Raina,2018-05-06,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",48,39,123.08,6,2
Dinesh Karthik,2018-05-09,Rajasthan Royals,"IS Bindra Stadium, Mohali",38,31,122.58,2,3
Quinton de Kock,2018-05-12,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",0,1,0.0,0,0
Rishabh Pant,2018-05-12,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",72,45,160.0,5,5
Virat Kohli,2018-05-15,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Bangalore",46,31,148.39,6,1
Ishan Kishan,2018-05-15,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",41,30,136.67,3,3
MS Dhoni,2018-05-15,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",33,23,143.48,3,1
Suresh Raina,2018-05-15,Rajasthan Royals,"DY Patil Stadium, Mumbai",50,39,128.21,5,4
David Warner,2018-05-18,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",32,24,133.33,1,1
Ambati Rayudu,2018-05-18,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",42,34,123.53,2,2
Sanju Samson,2018-05-21,Sunrisers Hyderabad,"IS Bindra Stadium, Mohali",49,34,144.12,4,4
Sanju Samson,2018-05-24,Punjab Kings,"Wankhede Stadium, Mumbai",66,44,150.0,9,4
